Boca;3;Lautaro Blanco;Lateral izquierdo;19/02/1999;27;Argentina;1,76m;Izquierdo;31/01/2024;Elche CF;31/12/2028;4,00 mill. €
Boca;27;Malcom Braida;Lateral izquierdo;17/05/1997;29;Argentina / Italia;1,75m;Derecho;10/06/2025;CA San Lorenzo de Almagro;31/12/2028;2,50 mill. €
Boca;17;Leandro Lozano;Lateral derecho;19/12/1998;27;Uruguay;1,70m;Derecho;01/07/2026;AA Argentinos Juniors;31/12/2030;4,00 mill. €
Boca;24;Dylan Gorosito;Lateral derecho;03/02/2006;20;Argentina;1,73m;Derecho;01/07/2026;CA Boca Juniors II;31/12/2030;3,50 mill. €
Boca;18;Milton Delgado;Pivote;16/06/2005;21;Argentina;1,66m;Derecho;01/01/2024;CA Boca Juniors II;31/12/2029;10,00 mill. €
Boca;25;Santiago Ascacíbar;Pivote;25/02/1997;29;Argentina / Italia;1,69m;Derecho;27/01/2026;Club Estudiantes de La Plata;31/12/2029;5,50 mill. €
Boca;5;Leandro Paredes;Pivote;29/06/1994;32;Argentina;1,82m;Derecho;10/07/2025;AS Roma;31/12/2028;5,00 mill. €
Boca;8;Tomás Belmonte;Pivote;27/05/1998;28;Argentina / Italia;1,81m;Derecho;01/07/2024;Deportivo Toluca FC;31/12/2028;3,00 mill. €
Boca;23;Camilo Rey Domenech;Pivote;10/03/2006;20;Argentina;1,78m;Derecho;01/01/2025;CA Boca Juniors U20;31/12/2029;1,20 mill. €
Boca;6;Rodrigo Battaglia;Pivote;12/07/1991;35;Argentina / Italia;1,87m;Derecho;21/01/2025;Clube Atlético Mineiro;31/12/2027;500 mil €
Boca;15;Williams Alarcón;Mediocentro;29/11/2000;25;Chile / Argentina;1,82m;Derecho;27/01/2025;CA Huracán;31/12/2028;2,80 mill. €
Boca;-;Juan Ramírez;Mediocentro;25/05/1993;33;Argentina;1,74m;Izquierdo;30/07/2021;CA San Lorenzo de Almagro;31/12/2026;150 mil €
Boca;10;Tomás Aranda;Mediocentro ofensivo;09/05/2007;19;Argentina;1,72m;Derecho;01/01/2026;CA Boca Juniors II;31/12/2029;12,00 mill. €
Boca;7;Carlos Palacios;Mediocentro ofensivo;20/07/2000;26;Chile;1,80m;Derecho;01/01/2025;CSD Colo-Colo;31/12/2029;3,00 mill. €
Boca;22;Sebastián Villa;Extremo izquierdo;19/05/1996;30;Colombia;1,79m;Derecho;17/07/2026;CS Independiente Rivadavia;31/12/2030;6,00 mill. €
Boca;20;Alan Velasco;Extremo izquierdo;27/07/2002;24;Argentina;1,67m;Derecho;23/01/2025;FC Dallas;31/12/2028;2,80 mill. €
Boca;19;Leonel Flores;Extremo derecho;06/02/2007;19;Argentina;1,77m;Derecho;01/07/2026;CA Boca Juniors II;31/12/2029;8,00 mill. €
Boca;11;Ángel Romero;Extremo derecho;04/07/1992;34;Paraguay;1,76m;Derecho;27/01/2026;SC Corinthians;31/12/2026;300 mil €
Boca;16;Miguel Merentiel;Delantero centro;24/02/1996;30;Uruguay / Argentina;1,76m;Derecho;01/01/2024;SE Palmeiras;31/12/2027;4,50 mill. €
Boca;28;Adam Bareiro;Delantero centro;26/07/1996;30;Paraguay / Argentina;1,80m;Derecho;21/02/2026;Fortaleza Esporte Clube;31/12/2028;3,50 mill. €
Boca;9;Milton Giménez;Delantero centro;12/08/1996;30;Argentina / Paraguay;1,84m;Derecho;07/07/2024;CA Banfield;31/12/2027;2,00 mill. €
Boca;13;Enner Valencia;Delantero centro;04/11/1989;36;Ecuador;1,77m;Derecho;09/08/2026;CF Pachuca;31/12/2027;1,00 mill. €
Rosario Central;23;Conan Ledesma;Portero;13/02/1993;33;Argentina / Italia;1,83m;Derecho;14/01/2026;CA River Plate;31/12/2026;1,50 mill. €
Rosario Central;1;Axel Werner;Portero;28/02/1996;30;Argentina / Italia;1,91m;Derecho;12/07/2026;Elche CF;30/06/2027;400 mil €
